"","value","year","source_name","source_type"
"1",6,"2000","NOAA","Weather Station"
"2",3,"2001","NOAA","Weather Station"
"3",5,"2002","NOAA","Weather Station"
"4",3,"2003","NOAA","Weather Station"
"5",7,"2004","NOAA","Weather Station"
"6",10,"2005","NOAA","Weather Station"
"7",5,"2006","NOAA","Weather Station"
"8",7,"2007","NOAA","Weather Station"
"9",8,"2008","NOAA","Weather Station"
"10",1,"2009","NOAA","Weather Station"
"11",7,"2010","NOAA","Weather Station"
"12",5,"2011","NOAA","Weather Station"
"13",5,"2012","NOAA","Weather Station"
"14",4,"2013","NOAA","Weather Station"
"15",6,"2014","NOAA","Weather Station"
"16",1,"2015","NOAA","Weather Station"
"17",9,"2016","NOAA","Weather Station"
"18",6,"2017","NOAA","Weather Station"
"19",4,"2018","NOAA","Weather Station"
"20",8,"2019","NOAA","Weather Station"
"21",2,"2020","NOAA","Weather Station"
"22",5,"2000","CHIRPS","Satellite"
"23",5,"2001","CHIRPS","Satellite"
"24",6,"2002","CHIRPS","Satellite"
"25",9,"2003","CHIRPS","Satellite"
"26",6,"2004","CHIRPS","Satellite"
"27",8,"2005","CHIRPS","Satellite"
"28",3,"2006","CHIRPS","Satellite"
"29",10,"2007","CHIRPS","Satellite"
"30",5,"2008","CHIRPS","Satellite"
"31",3,"2009","CHIRPS","Satellite"
"32",10,"2010","CHIRPS","Satellite"
"33",8,"2011","CHIRPS","Satellite"
"34",2,"2012","CHIRPS","Satellite"
"35",3,"2013","CHIRPS","Satellite"
"36",8,"2014","CHIRPS","Satellite"
"37",8,"2015","CHIRPS","Satellite"
"38",9,"2016","CHIRPS","Satellite"
"39",2,"2017","CHIRPS","Satellite"
"40",7,"2018","CHIRPS","Satellite"
"41",2,"2019","CHIRPS","Satellite"
"42",1,"2020","CHIRPS","Satellite"
